run_id,recorded_at,snapshot_ts_utc,poll_window_start_utc,poll_window_end_utc,mode,status,source,source_path,output_path,output_rel_path,file_size_bytes,sha256,notes
alerts_sidecar_20260317T203007Z,2026-03-17T20:30:07Z,2026-03-17T20:30:07Z,2026-03-17T20:30:00Z,2026-03-17T21:00:00Z,test,ok_test_mode,latest_local_snapshot,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/eda/gtfsrt_eda_outputs/raw/alerts_20260311T073525Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260317T203007Z.pb,alerts/raw_snapshots/alerts_20260317T203007Z.pb,7462,b299baeeb51856d727c87539ae32f5887e6569564f3d0a20f0c974de4e2d3648,
alerts_sidecar_20260317T213822Z,2026-03-17T21:38:23Z,2026-03-17T21:38:22Z,2026-03-17T21:30:00Z,2026-03-17T22:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260317T213822Z.pb,alerts/raw_snapshots/alerts_20260317T213822Z.pb,6758,2ce6532cb9d74370dce8729762c7a02bd555128932b620dec22894da779cf45d,
alerts_sidecar_20260323T015030Z,2026-03-23T01:50:30Z,2026-03-23T01:50:30Z,2026-03-23T01:30:00Z,2026-03-23T02:00:00Z,test,ok_test_mode,latest_local_snapshot,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260317T213822Z.pb,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T015030Z.pb,alerts/raw_snapshots/alerts_20260323T015030Z.pb,6758,2ce6532cb9d74370dce8729762c7a02bd555128932b620dec22894da779cf45d,
alerts_sidecar_20260323T042630Z,2026-03-23T04:26:30Z,2026-03-23T04:26:30Z,2026-03-23T04:00:00Z,2026-03-23T04:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T042630Z.pb,alerts/raw_snapshots/alerts_20260323T042630Z.pb,2228,dae7cf4dae1501245d6d672ace4c61992ea48cf3fadef2f1a8bd86fd5ac2e691,
alerts_sidecar_20260323T044357Z,2026-03-23T04:43:57Z,2026-03-23T04:43:57Z,2026-03-23T04:30:00Z,2026-03-23T05:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T044357Z.pb,alerts/raw_snapshots/alerts_20260323T044357Z.pb,2228,f065232b262e4360c5074ff647546e07b306241ec1439b9d6305fe8b61be6df1,
alerts_sidecar_20260323T044438Z,2026-03-23T04:44:39Z,2026-03-23T04:44:38Z,2026-03-23T04:30:00Z,2026-03-23T05:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T044438Z.pb,alerts/raw_snapshots/alerts_20260323T044438Z.pb,2228,a441aaa7d1d47eede06dc4746813b0011bab33c1361713e2992eab1ea68c13ef,
alerts_sidecar_20260323T051358Z,2026-03-23T05:13:58Z,2026-03-23T05:13:58Z,2026-03-23T05:00:00Z,2026-03-23T05:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T051358Z.pb,alerts/raw_snapshots/alerts_20260323T051358Z.pb,2067,1b51603e223d5787bc693a92dfe1d726a829c772861a4bcbd3b176e0537e051c,
alerts_sidecar_20260323T054358Z,2026-03-23T05:43:58Z,2026-03-23T05:43:58Z,2026-03-23T05:30:00Z,2026-03-23T06:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T054358Z.pb,alerts/raw_snapshots/alerts_20260323T054358Z.pb,2067,7d9206391ad83f6516b9cba171dacc7f04e8dad904780ed0443924ed5b4d690e,
alerts_sidecar_20260323T061359Z,2026-03-23T06:13:59Z,2026-03-23T06:13:59Z,2026-03-23T06:00:00Z,2026-03-23T06:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T061359Z.pb,alerts/raw_snapshots/alerts_20260323T061359Z.pb,2418,8c9e2324231c4dbe9957522e8d1551cb85854a33d46aabff54d4658877af56ac,
alerts_sidecar_20260323T064400Z,2026-03-23T06:44:00Z,2026-03-23T06:44:00Z,2026-03-23T06:30:00Z,2026-03-23T07:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T064400Z.pb,alerts/raw_snapshots/alerts_20260323T064400Z.pb,2418,d217a4c92045b6083d2efe15e42679a0a1161647d023ac88491845197efdaeda,
alerts_sidecar_20260323T071400Z,2026-03-23T07:14:01Z,2026-03-23T07:14:00Z,2026-03-23T07:00:00Z,2026-03-23T07:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T071400Z.pb,alerts/raw_snapshots/alerts_20260323T071400Z.pb,2067,95f4850701644627adb74142bab0daf90c8e26592efc77ab963eac3a8a69c908,
alerts_sidecar_20260323T074401Z,2026-03-23T07:44:01Z,2026-03-23T07:44:01Z,2026-03-23T07:30:00Z,2026-03-23T08:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T074401Z.pb,alerts/raw_snapshots/alerts_20260323T074401Z.pb,982,03d40757a07d7101d39aef5f019fc3f0f6183f0bd29c9e131a8176854444e595,
alerts_sidecar_20260323T081401Z,2026-03-23T08:14:02Z,2026-03-23T08:14:01Z,2026-03-23T08:00:00Z,2026-03-23T08:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T081401Z.pb,alerts/raw_snapshots/alerts_20260323T081401Z.pb,982,8ff4d085cccf859ba3e6b2ff4602caad78cc1499e8cdead66108856ae6f13a33,
alerts_sidecar_20260323T084402Z,2026-03-23T08:44:02Z,2026-03-23T08:44:02Z,2026-03-23T08:30:00Z,2026-03-23T09:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T084402Z.pb,alerts/raw_snapshots/alerts_20260323T084402Z.pb,982,e333a4e8d7af179227b2d75574cde8e52d10ac6f3e7857c17b882935c04dc2b2,
alerts_sidecar_20260323T091403Z,2026-03-23T09:14:03Z,2026-03-23T09:14:03Z,2026-03-23T09:00:00Z,2026-03-23T09:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T091403Z.pb,alerts/raw_snapshots/alerts_20260323T091403Z.pb,982,3620e8646e7a863ebad2d4e869c739811872641e32c609c7e1dc781342b08c3d,
alerts_sidecar_20260323T094403Z,2026-03-23T09:44:03Z,2026-03-23T09:44:03Z,2026-03-23T09:30:00Z,2026-03-23T10:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T094403Z.pb,alerts/raw_snapshots/alerts_20260323T094403Z.pb,982,c8547ad9b6f5cf2481db3c1de7fb4a8c0c6828a734cc7b321879084f5f166d22,
alerts_sidecar_20260323T101404Z,2026-03-23T10:14:04Z,2026-03-23T10:14:04Z,2026-03-23T10:00:00Z,2026-03-23T10:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T101404Z.pb,alerts/raw_snapshots/alerts_20260323T101404Z.pb,982,f3c560ead58493e10965f8d1aa1d724991da9887ce65e2808f61ec8e8186de9c,
alerts_sidecar_20260323T104405Z,2026-03-23T10:44:05Z,2026-03-23T10:44:05Z,2026-03-23T10:30:00Z,2026-03-23T11:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T104405Z.pb,alerts/raw_snapshots/alerts_20260323T104405Z.pb,982,86f874a2cbc7711499479e8051f94cd425d8066a0f866678431f2ab6fa5633bc,
alerts_sidecar_20260323T111405Z,2026-03-23T11:14:05Z,2026-03-23T11:14:05Z,2026-03-23T11:00:00Z,2026-03-23T11:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T111405Z.pb,alerts/raw_snapshots/alerts_20260323T111405Z.pb,982,4dd26033f757369a6e2d124be3328736299de90bf6e4784e1ede6bd50654ca75,
alerts_sidecar_20260323T114406Z,2026-03-23T11:44:06Z,2026-03-23T11:44:06Z,2026-03-23T11:30:00Z,2026-03-23T12:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T114406Z.pb,alerts/raw_snapshots/alerts_20260323T114406Z.pb,1325,5562594916d99be0738afdc36ffaf5ab617824c0bf3b00df98ec7ddecee9b27a,
alerts_sidecar_20260323T121406Z,2026-03-23T12:14:06Z,2026-03-23T12:14:06Z,2026-03-23T12:00:00Z,2026-03-23T12:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T121406Z.pb,alerts/raw_snapshots/alerts_20260323T121406Z.pb,1325,75672ba9e601d2946fec40fc19f2dbfae42e5a24c9305703324184d0f97e5a17,
alerts_sidecar_20260323T124407Z,2026-03-23T12:44:07Z,2026-03-23T12:44:07Z,2026-03-23T12:30:00Z,2026-03-23T13:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T124407Z.pb,alerts/raw_snapshots/alerts_20260323T124407Z.pb,1537,a4150b411a6a5d4c7edf44b8d0a07072501fd7a5e7f3102d5844218e5a9f23c9,
alerts_sidecar_20260323T131408Z,2026-03-23T13:14:08Z,2026-03-23T13:14:08Z,2026-03-23T13:00:00Z,2026-03-23T13:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T131408Z.pb,alerts/raw_snapshots/alerts_20260323T131408Z.pb,1325,c549f0c012f48bf1f9e4213346c5dfe2efa39f8b01849ae73a3a4f78087ccec4,
alerts_sidecar_20260323T134408Z,2026-03-23T13:44:08Z,2026-03-23T13:44:08Z,2026-03-23T13:30:00Z,2026-03-23T14:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T134408Z.pb,alerts/raw_snapshots/alerts_20260323T134408Z.pb,2033,07eec019387e3091f5df84f2e740ec573648809cf4547bbe6682a87e2cd3e9d9,
alerts_sidecar_20260323T141409Z,2026-03-23T14:14:09Z,2026-03-23T14:14:09Z,2026-03-23T14:00:00Z,2026-03-23T14:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T141409Z.pb,alerts/raw_snapshots/alerts_20260323T141409Z.pb,2268,a3b083e0d127e3eac9e6a908914ea03e3aab9bb1e208034aedcde2705f96dde8,
alerts_sidecar_20260323T144409Z,2026-03-23T14:44:09Z,2026-03-23T14:44:09Z,2026-03-23T14:30:00Z,2026-03-23T15:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T144409Z.pb,alerts/raw_snapshots/alerts_20260323T144409Z.pb,1979,18fb4a735d418b917bccc090d32fb0cae8a75b0191abfb1a39978db81655f76f,
alerts_sidecar_20260323T151410Z,2026-03-23T15:14:10Z,2026-03-23T15:14:10Z,2026-03-23T15:00:00Z,2026-03-23T15:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T151410Z.pb,alerts/raw_snapshots/alerts_20260323T151410Z.pb,1556,370d90d6db5854d5fe53435faea0631bd7131511deafd5cecbefdb49c65e1a5d,
alerts_sidecar_20260323T154410Z,2026-03-23T15:44:11Z,2026-03-23T15:44:10Z,2026-03-23T15:30:00Z,2026-03-23T16:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T154410Z.pb,alerts/raw_snapshots/alerts_20260323T154410Z.pb,1750,6843f05323854a896cb0acd2f7d0b02024386b1594cb99af6a5c14a59300abbb,
alerts_sidecar_20260323T161411Z,2026-03-23T16:14:11Z,2026-03-23T16:14:11Z,2026-03-23T16:00:00Z,2026-03-23T16:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T161411Z.pb,alerts/raw_snapshots/alerts_20260323T161411Z.pb,1556,8cce21e7236a0f8a1e0eec351c96fe6aa87a84e3644703336c2e7ef8271d72ab,
alerts_sidecar_20260323T164412Z,2026-03-23T16:44:12Z,2026-03-23T16:44:12Z,2026-03-23T16:30:00Z,2026-03-23T17:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T164412Z.pb,alerts/raw_snapshots/alerts_20260323T164412Z.pb,1556,fa2c01b6c469342d00883f3b9ca4a6f84eaea450c28812fd9c3f3132c684fa65,
alerts_sidecar_20260323T171412Z,2026-03-23T17:14:12Z,2026-03-23T17:14:12Z,2026-03-23T17:00:00Z,2026-03-23T17:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T171412Z.pb,alerts/raw_snapshots/alerts_20260323T171412Z.pb,2043,3ad1f558120c76a15e69ac3df9234fbe53ff356a6fee54308692240cb17143a8,
alerts_sidecar_20260323T174413Z,2026-03-23T17:44:13Z,2026-03-23T17:44:13Z,2026-03-23T17:30:00Z,2026-03-23T18:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T174413Z.pb,alerts/raw_snapshots/alerts_20260323T174413Z.pb,1916,d084491c94e83750c7095bceec6edcfcc1dbadda85a4759772a17f07b033dc79,
alerts_sidecar_20260323T181413Z,2026-03-23T18:14:13Z,2026-03-23T18:14:13Z,2026-03-23T18:00:00Z,2026-03-23T18:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T181413Z.pb,alerts/raw_snapshots/alerts_20260323T181413Z.pb,1556,3c820cdf50f8c66c330edb6d2a3926731046db9cc03db0afd7dd03fa33450c1d,
alerts_sidecar_20260323T184414Z,2026-03-23T18:44:14Z,2026-03-23T18:44:14Z,2026-03-23T18:30:00Z,2026-03-23T19:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T184414Z.pb,alerts/raw_snapshots/alerts_20260323T184414Z.pb,1556,cd6200d967da0b4612463d447889a5295183455b7488d5fa7ed653663ff3f8af,
alerts_sidecar_20260323T191415Z,2026-03-23T19:14:15Z,2026-03-23T19:14:15Z,2026-03-23T19:00:00Z,2026-03-23T19:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T191415Z.pb,alerts/raw_snapshots/alerts_20260323T191415Z.pb,1213,6129f3fd685f005790704838c5ced41b72d643817c94631057a9887f9780bdbf,
alerts_sidecar_20260323T224822Z,2026-03-23T22:48:23Z,2026-03-23T22:48:22Z,2026-03-23T22:30:00Z,2026-03-23T23:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T224822Z.pb,alerts/raw_snapshots/alerts_20260323T224822Z.pb,1143,0c998ce0c6dd2da2fb40f13b6ff94e96ca5200d14b576065f7bcd1fb0b4b1cc8,
alerts_sidecar_20260323T231823Z,2026-03-23T23:18:23Z,2026-03-23T23:18:23Z,2026-03-23T23:00:00Z,2026-03-23T23:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T231823Z.pb,alerts/raw_snapshots/alerts_20260323T231823Z.pb,1143,b3a270dc35ac278f8d7224200ab092cf88361ecccd482585cd215f1925e946f3,
alerts_sidecar_20260323T234824Z,2026-03-23T23:48:24Z,2026-03-23T23:48:24Z,2026-03-23T23:30:00Z,2026-03-24T00:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260323T234824Z.pb,alerts/raw_snapshots/alerts_20260323T234824Z.pb,1143,54d9f4367d473e4d6b8145740b6fa6cbc3ca4a32d04a558ae7c94f1dc98df71a,
alerts_sidecar_20260324T001825Z,2026-03-24T00:18:25Z,2026-03-24T00:18:25Z,2026-03-24T00:00:00Z,2026-03-24T00:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260324T001825Z.pb,alerts/raw_snapshots/alerts_20260324T001825Z.pb,1360,9ca362ffa1f3d781fd4b6523abbcc53525c3c11ff9a7ec79127defc17d2309cf,
alerts_sidecar_20260324T004825Z,2026-03-24T00:48:25Z,2026-03-24T00:48:25Z,2026-03-24T00:30:00Z,2026-03-24T01:00:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260324T004825Z.pb,alerts/raw_snapshots/alerts_20260324T004825Z.pb,1360,eb85c005c9e3b919cee093c4e41e649c3bd2c54deefee812e27064ebcbc6f3d5,
alerts_sidecar_20260324T011826Z,2026-03-24T01:18:26Z,2026-03-24T01:18:26Z,2026-03-24T01:00:00Z,2026-03-24T01:30:00Z,live,ok,live_endpoint,,/Users/om-college/Work/2 Canada/York/Winter26/DataViz/Project/ttc_pulse/alerts/raw_snapshots/alerts_20260324T011826Z.pb,alerts/raw_snapshots/alerts_20260324T011826Z.pb,1635,5efa4a3a8a51617684faa7e14b0757c2e34a6898041aaddfeab7123fcfd9c55c,
